bo2023_region_id,bo2023_region_name,bo2023_lobe,bo2023_saleem_network,bo2023_neocortex_flag,bo2023_roi173,bo2023_source_sample_count,resolution_tier,resolution_group,resolution_group_members,group_plausibility_tier,public_major_anatomy,public_network_or_subdivision,public_fine_anatomy_label,public_label_synonyms,mapping_level,mapping_confidence,mapping_rule,compatible_public_dataset_labels,ivy_gap_mapping_status,do_not_use_as_exact_ground_truth,caution_note
7b,visual area 7b,Parietal,"Parietal, and Parieto-occipital region",Yes,7b_(PFG/PF),9,low_resolution,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,requires_manual_review,parietal lobe,parietal/parieto-occipital cortex,parietal/parieto-occipital cortex,7b; visual area 7b; parietal/parieto-occipital cortex; parietal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
7m,area 7m in the medial parietal cortex,Parietal,"Parietal, and Parieto-occipital region",Yes,7m(PGm),6,low_resolution,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,requires_manual_review,parietal lobe,parietal/parieto-occipital cortex,parietal/parieto-occipital cortex,7m; area 7m in the medial parietal cortex; parietal/parieto-occipital cortex; parietal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
7op,area 7op (parietal operculum),Parietal,"Parietal, and Parieto-occipital region",Yes,7op,10,low_resolution,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,requires_manual_review,parietal lobe,parietal/parieto-occipital cortex,parietal/parieto-occipital cortex,7op; area 7op (parietal operculum); parietal/parieto-occipital cortex; parietal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
8A,area 8A[8Ad+8Av],Frontal,Lateral Prefrontal Cortex,Yes,8Av,9,low_resolution,Lateral Prefrontal Cortex::10o + 12l + 12r + 45 + 46d + 46v + 8A,10o | 12l | 12r | 45 | 46d | 46v | 8A,requires_manual_review,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,8A; area 8A[8Ad+8Av]; prefrontal cortex; lateral prefrontal cortex; frontal cortex,network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
8Bd,"area 8B,dorsal subdivision",Frontal,Lateral Prefrontal Cortex,Yes,8Bd,9,low_resolution,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9d + 9m,8Bd | 8Bm | 8Bs | 9d | 9m,moderate_internal_support,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,"8Bd; area 8B,dorsal subdivision; prefrontal cortex; lateral prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
8Bm,"area 8B,medial subdivision",Frontal,Lateral Prefrontal Cortex,Yes,8Bm,4,low_resolution,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9d + 9m,8Bd | 8Bm | 8Bs | 9d | 9m,moderate_internal_support,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,"8Bm; area 8B,medial subdivision; prefrontal cortex; lateral prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
8Bs,area 8B in the arcuate sulcus(“s” stands for sulcus),Frontal,Lateral Prefrontal Cortex,Yes,8Bs,9,low_resolution,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9d + 9m,8Bd | 8Bm | 8Bs | 9d | 9m,moderate_internal_support,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,8Bs; area 8B in the arcuate sulcus(“s” stands for sulcus); prefrontal cortex; lateral prefrontal cortex; frontal cortex,network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
9d,"area 9, dorsal subdivision",Frontal,Lateral Prefrontal Cortex,Yes,9d,9,low_resolution,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9d + 9m,8Bd | 8Bm | 8Bs | 9d | 9m,moderate_internal_support,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,"9d; area 9, dorsal subdivision; prefrontal cortex; lateral prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
9m,"area 9, medial subdivision",Frontal,Lateral Prefrontal Cortex,Yes,9m,8,low_resolution,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9d + 9m,8Bd | 8Bm | 8Bs | 9d | 9m,moderate_internal_support,frontal lobe,lateral prefrontal cortex,lateral prefrontal cortex,"9m; area 9, medial subdivision; prefrontal cortex; lateral prefrontal cortex; frontal cortex",network/subdivision,medium,mapped to prefrontal subdivision by Saleem network and region name,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
AI,AI,Temporal,Temporal,Yes,A1,9,low_resolution,Temporal::AI + CL + CM + ML + Tpt,AI | CL | CM | ML | Tpt,moderate_internal_support,temporal lobe,temporal cortex,temporal cortex,AI; AI; temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
AL,"anterior lateral, belt region of the auditory cortex",Temporal,Temporal,Yes,AL,10,low_resolution,AL,AL,single_region_low_resolution,temporal lobe,temporal cortex,temporal cortex,"AL; anterior lateral, belt region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
CL,"caudal lateral, belt region of the auditory cortex",Temporal,Temporal,Yes,CL,7,low_resolution,Temporal::AI + CL + CM + ML + Tpt,AI | CL | CM | ML | Tpt,moderate_internal_support,temporal lobe,temporal cortex,temporal cortex,"CL; caudal lateral, belt region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
CM,"caudomedial, belt region of the auditory cortex",Temporal,Temporal,Yes,CM,6,low_resolution,Temporal::AI + CL + CM + ML + Tpt,AI | CL | CM | ML | Tpt,moderate_internal_support,temporal lobe,temporal cortex,temporal cortex,"CM; caudomedial, belt region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
F1,"agranular frontal area F1,M1 (Primary motor cortex)",Frontal,Frontal (agranular frontal motor areas),Yes,F1_(4),12,low_resolution,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F6 + F7,F1 | F2 | F3 | F6 | F7,moderate_internal_support,frontal lobe,primary/premotor frontal cortex,primary motor cortex,M1; primary motor cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
F2,"agranular frontal area F2,PMdc (dorsal premotor cortex, caudal)",Frontal,Frontal (agranular frontal motor areas),Yes,F2,12,low_resolution,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F6 + F7,F1 | F2 | F3 | F6 | F7,moderate_internal_support,frontal lobe,primary/premotor frontal cortex,dorsal premotor cortex,PMd; dorsal premotor cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
F3,"agranular frontal area F3,SMA (supplementary motor area)",Frontal,Frontal (agranular frontal motor areas),Yes,F3,10,low_resolution,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F6 + F7,F1 | F2 | F3 | F6 | F7,moderate_internal_support,frontal lobe,primary/premotor frontal cortex,supplementary motor area,SMA; supplementary motor area,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
F4,"agranular frontal area F4,PMv (ventral premotor cortex)",Frontal,Frontal (agranular frontal motor areas),Yes,F4,9,low_resolution,F4,F4,single_region_low_resolution,frontal lobe,primary/premotor frontal cortex,ventral premotor cortex,PMv; ventral premotor cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
F5,"agranular frontal area F5,PMv (ventral premotor cortex)",Frontal,Frontal (agranular frontal motor areas),Yes,F5,7,low_resolution,F5,F5,single_region_low_resolution,frontal lobe,primary/premotor frontal cortex,ventral premotor cortex,PMv; ventral premotor cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
F6,"agranular frontal area F6,PreSMA (presupplementary motor area)",Frontal,Frontal (agranular frontal motor areas),Yes,F6,8,low_resolution,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F6 + F7,F1 | F2 | F3 | F6 | F7,moderate_internal_support,frontal lobe,primary/premotor frontal cortex,pre-supplementary motor area,pre-SMA; presupplementary motor area,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
F7,"agranular frontal area F7,PMdr (dorsal premotor cortex, rostral)",Frontal,Frontal (agranular frontal motor areas),Yes,F7,7,low_resolution,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F6 + F7,F1 | F2 | F3 | F6 | F7,moderate_internal_support,frontal lobe,primary/premotor frontal cortex,dorsal premotor cortex,PMd; rostral dorsal premotor cortex,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
FST,floor of superior temporal area,Temporal,Occipital/Temporal,Yes,FST,8,low_resolution,Occipital/Temporal::FST + MST,FST | MST,strong_internal_support,temporal lobe,visual occipital-temporal cortex,visual occipital-temporal cortex,FST; floor of superior temporal area; visual occipital-temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
G,gustatory cortex,Insula,Operculum/Insula,Yes,G,10,low_resolution,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,G | Iapl | Id | Ig | PrCo | Ri | SII,requires_manual_review,insula,operculum/insula,gustatory cortex,gustatory cortex; insula,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
GPeGPi,GPeGPi,Subcortical,Subcortical,No,GPeGPi,9,high_resolution,GPeGPi,GPeGPi,single_region_low_resolution,subcortical structures,subcortical structures,globus pallidus,globus pallidus; external globus pallidus; internal globus pallidus,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
HC,hippocampus,Subcortical,Hippocampal formation,No,HC,8,low_resolution,HC,HC,single_region_low_resolution,subcortical structures,hippocampal formation,hippocampus,hippocampal formation; hippocampus,exact/common_anatomical_name,high,mapped by widely used anatomical name shared across macaque and public brain datasets,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
IPa,"area Ipa,sts fundus",Temporal,Temporal,Yes,IPa,6,low_resolution,IPa,IPa,single_region_low_resolution,temporal lobe,temporal cortex,temporal cortex,"IPa; area Ipa,sts fundus; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Ia,agranular insula,Insula,Operculum/Insula,Yes,Ia,4,low_resolution,Operculum/Insula::Ia + Ial + Iapm + Pi,Ia | Ial | Iapm | Pi,strong_internal_support,insula,operculum/insula,operculum/insula,Ia; agranular insula; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Ial,lateral agranular insula area,Insula,Operculum/Insula,Yes,Ial,8,low_resolution,Operculum/Insula::Ia + Ial + Iapm + Pi,Ia | Ial | Iapm | Pi,strong_internal_support,insula,operculum/insula,operculum/insula,Ial; lateral agranular insula area; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Iapl,posterolateral agranular insula area,Insula,Operculum/Insula,Yes,Iapl,8,low_resolution,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,G | Iapl | Id | Ig | PrCo | Ri | SII,requires_manual_review,insula,operculum/insula,operculum/insula,Iapl; posterolateral agranular insula area; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Iapm,posteromedial agranular insula area,Insula,Operculum/Insula,Yes,Iapm,7,low_resolution,Operculum/Insula::Ia + Ial + Iapm + Pi,Ia | Ial | Iapm | Pi,strong_internal_support,insula,operculum/insula,operculum/insula,Iapm; posteromedial agranular insula area; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Id,dysgranular insula,Insula,Operculum/Insula,Yes,Id,10,low_resolution,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,G | Iapl | Id | Ig | PrCo | Ri | SII,requires_manual_review,insula,operculum/insula,operculum/insula,Id; dysgranular insula; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
Ig,granular insula,Insula,Operculum/Insula,Yes,Ig,10,low_resolution,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,G | Iapl | Id | Ig | PrCo | Ri | SII,requires_manual_review,insula,operculum/insula,operculum/insula,Ig; granular insula; operculum/insula; insular cortex,major_structure,medium,mapped to major cortical structure by Bo2023 lobe/network,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
LIPd,"lateral intraparietal area, dorsal subdivision",Parietal,"Parietal, and Parieto-occipital region",Yes,LIPd,10,low_resolution,LIPd,LIPd,single_region_low_resolution,parietal lobe,parietal/parieto-occipital cortex,parietal/parieto-occipital cortex,"LIPd; lateral intraparietal area, dorsal subdivision; parietal/parieto-occipital cortex; parietal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
LIPv,"lateral intraparietal area, ventral subdivision",Parietal,"Parietal, and Parieto-occipital region",Yes,LIPv,9,low_resolution,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,requires_manual_review,parietal lobe,parietal/parieto-occipital cortex,parietal/parieto-occipital cortex,"LIPv; lateral intraparietal area, ventral subdivision; parietal/parieto-occipital cortex; parietal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
ML,"middle lateral, belt region of the auditory cortex",Temporal,Temporal,Yes,ML,6,low_resolution,Temporal::AI + CL + CM + ML + Tpt,AI | CL | CM | ML | Tpt,moderate_internal_support,temporal lobe,temporal cortex,temporal cortex,"ML; middle lateral, belt region of the auditory cortex; temporal cortex; temporal cortex",lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
MST,medial superior temporal area,Temporal,Occipital/Temporal,Yes,MST,8,low_resolution,Occipital/Temporal::FST + MST,FST | MST,strong_internal_support,temporal lobe,visual occipital-temporal cortex,visual occipital-temporal cortex,MST; medial superior temporal area; visual occipital-temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
MT,MT,Temporal,Occipital/Temporal,Yes,MT,1,low_resolution,MT,MT,single_region_low_resolution,temporal lobe,visual occipital-temporal cortex,visual occipital-temporal cortex,MT; MT; visual occipital-temporal cortex; temporal cortex,lobe/network,medium,mapped by Bo2023 lobe and Saleem network; exact cross-species area identity is not assumed,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
NARegion,NARegion,Subcortical,Subcortical,No,Striatum,7,low_resolution,Subcortical::NARegion + cd + pu,NARegion | cd | pu,moderate_internal_support,subcortical structures,subcortical structures,subcortical structures,NARegion; NARegion; subcortical; subcortical structures,major_structure,low,subcortical abbreviation lacks stable public-dataset synonym; use only as coarse structure unless manually curated,"AHBA/Allen Human Brain Atlas anatomical labels | GTEx tissue-level brain labels | TCGA/CGGA tumor location labels when available | Ivy GAP only as tumor microanatomic grouping, not normal-region ground truth",no_direct_normal_brain_region_mapping,True,Use as anatomical label harmonization. Do not interpret public human/tumor labels as exact Bo2023 macaque region ground truth without dataset-specific manual review.
